seed,profundidade,pontuacao,passos,bateria_final,recargas,tempo_execucao
1,1,115,85,7,1,8.94511866569519
1,2,117,83,5,1,8.799838066101074
1,3,115,85,7,1,9.886184692382812
2,1,83,117,20,3,12.338852405548096
2,2,103,97,22,1,10.456493616104126
2,3,83,117,16,2,13.355578899383545
3,1,90,94,40,1,10.034737586975098
3,2,58,118,18,1,12.610430240631104
3,3,104,96,18,1,11.0526442527771
4,1,-29,173,-14,3,18.032789707183838
4,2,-5,205,14,3,21.419517517089844
4,3,27,173,32,4,19.520302772521973
5,1,51,101,41,1,10.742640733718872
5,2,70,106,30,1,11.374881029129028
5,3,88,112,14,2,12.891788959503174
6,1,107,93,17,1,9.859949350357056
6,2,81,111,21,1,11.410878896713257
6,3,85,115,15,2,12.661932706832886
7,1,84,116,22,3,11.839894771575928
7,2,98,102,16,2,10.598905086517334
7,3,94,106,22,2,11.823076486587524
8,1,34,162,-1,4,16.482280254364014
8,2,56,144,37,4,14.77930998802185
8,3,66,130,-1,1,14.052405834197998
9,1,89,111,14,1,11.32899022102356
9,2,57,143,8,2,14.71744441986084
9,3,55,145,8,2,15.694233417510986
10,1,-25,121,33,2,12.339232683181763
10,2,33,119,23,1,12.295166492462158
10,3,19,177,-1,3,19.45139741897583
11,1,18,150,8,3,15.261703968048096
11,2,-2,138,8,1,14.236005783081055
11,3,36,124,36,3,14.172333240509033
12,1,-63,123,42,1,12.561171531677246
12,2,7,109,42,1,11.258051872253418
12,3,9,167,42,3,18.275872468948364
13,1,114,86,34,1,8.809966087341309
13,2,110,90,10,1,9.29913878440857
13,3,106,94,36,1,10.361401557922363
14,1,82,118,13,2,12.027950286865234
14,2,48,132,3,1,13.573185920715332
14,3,-14,214,33,6,22.768085956573486
15,1,73,127,13,3,12.950170993804932
15,2,89,111,5,1,11.433463335037231
15,3,99,101,17,2,11.21647334098816
16,1,87,113,9,2,11.549954414367676
16,2,95,105,13,1,10.859862089157104
16,3,73,127,13,3,14.278859853744507
17,1,94,106,0,1,10.832214593887329
17,2,76,116,16,1,11.920433044433594
17,3,108,92,34,1,10.165263652801514
18,1,-26,138,37,2,14.060801267623901
18,2,72,128,1,2,13.142252206802368
18,3,82,118,3,2,13.030025482177734
19,1,9,127,19,1,12.94788384437561
19,2,94,106,16,1,10.917977809906006
