seed,profundidade,pontuacao,passos,bateria_final,recargas,tempo_execucao
1,1,115,85,7,1,8.884548664093018
1,2,117,83,5,1,8.783047199249268
1,3,115,85,7,1,9.87932300567627
1,4,113,87,41,1,16.160353422164917
2,1,83,117,20,3,12.31620454788208
2,2,103,97,22,1,10.420291662216187
2,3,83,117,16,2,13.535444021224976
2,4,91,109,4,1,18.10832691192627
3,1,90,94,40,1,9.962031364440918
3,2,58,118,18,1,12.55323052406311
3,3,104,96,18,1,11.127883195877075
3,4,110,90,40,1,15.205663681030273
4,1,-29,173,-14,3,17.952534675598145
4,2,-5,205,14,3,21.38833212852478
4,3,27,173,32,4,19.53461742401123
4,4,31,169,22,3,28.332987308502197
5,1,51,101,41,1,10.318596124649048
5,2,70,106,30,1,10.939645290374756
5,3,88,112,14,2,12.460631370544434
5,4,87,113,35,3,22.182255744934082
6,1,107,93,17,1,9.505075216293335
6,2,81,111,21,1,11.417729377746582
6,3,85,115,15,2,12.710784196853638
6,4,89,111,15,2,18.011472940444946
7,1,84,116,22,3,11.856150150299072
7,2,98,102,16,2,10.560488224029541
7,3,94,106,22,2,11.987271785736084
7,4,116,84,4,1,15.96076250076294
8,1,34,162,-1,4,16.47451663017273
8,2,56,144,37,4,14.799978971481323
8,3,66,130,-1,1,14.14664626121521
8,4,74,110,33,2,19.919007539749146
9,1,89,111,14,1,11.364149808883667
9,2,57,143,8,2,14.695375680923462
9,3,55,145,8,2,15.860289812088013
9,4,89,111,8,1,18.2340407371521
10,1,-25,121,33,2,12.357156991958618
10,2,33,119,23,1,12.315146446228027
10,3,19,177,-1,3,19.62865710258484
10,4,93,107,23,1,19.808252334594727
11,1,18,150,8,3,15.264892578125
11,2,-2,138,8,1,14.200649499893188
11,3,36,124,36,3,14.290668964385986
11,4,24,160,-4,2,25.039512395858765
12,1,-63,123,42,1,12.551151990890503
12,2,7,109,42,1,11.288881778717041
12,3,9,167,42,3,18.401418447494507
12,4,33,115,28,1,19.271419525146484
13,1,114,86,34,1,8.809209823608398
13,2,110,90,10,1,9.310648918151855
13,3,106,94,36,1,10.420156717300415
13,4,120,80,34,1,13.856900453567505
14,1,82,118,13,2,12.051441669464111
14,2,48,132,3,1,13.568045854568481
14,3,-14,214,33,6,22.867244720458984
14,4,56,144,17,3,20.977291345596313
15,1,73,127,13,3,12.968017816543579
